id_movimiento,id_inventario,tipo_movimiento,fecha,cantidad_movimiento,motivo_rechazo
MOV9006,INV5115,traslado,,39,fecha_invalida
MOV9019,INV5132,salida,,32,fecha_invalida
MOV9039,INV5101,entrada,,18,fecha_invalida
MOV9048,INV5088,ajuste,,19,fecha_invalida
MOV9056,INV5033,salida,,45,fecha_invalida
MOV9057,INV5126,traslado,,59,fecha_invalida
MOV9092,INV5026,entrada,,57,fecha_invalida
MOV9099,INV5151,traslado,,13,fecha_invalida
MOV9100,INV5069,entrada,,75,fecha_invalida
MOV9106,INV5074,traslado,,58,fecha_invalida
MOV9111,INV5151,entrada,,14,fecha_invalida
MOV9119,INV5097,entrada,,12,fecha_invalida
MOV9130,INV5137,traslado,,18,fecha_invalida
MOV9131,INV5104,ajuste,,26,fecha_invalida
MOV9143,INV5053,ajuste,,37,fecha_invalida
MOV9169,INV5029,ajuste,,57,fecha_invalida
MOV9191,INV5049,entrada,,35,fecha_invalida
MOV9201,INV5102,traslado,,58,fecha_invalida
